BU,MPN,DEVICE,MPC,PSI_MASK,PRODUCT_FAMILY,PKG_CODE,LEAD_COUNT,CONFIGURATION,BB_REPOSITORY_NAME,PACKAGE,TEST_LOCATION,ATE,TSO_MAIN_SOURCE,TSO_EXECUTABLE,TSO_TEST_DEVICE,STDF_TP_NAME,TP_REV,RELEASE_DATE,HANDLER,INCOMING_MEDIA,TRANSFER_REQUIRED,SUBCON_PROCESS_STEP,OPERATION,TEMP,INSERTION,FLOW_ID,FLOW_TYPE,TEST_FLOW_GROUP,PROCESS_PLAN,STEP_NAME,BIN_GROUP,ACCEPT_BIN1_ONLY,SITES,INDEX_SECONDS,TEST_SECONDS,DAILY_CAP,TEST_YIELD,SUBCON_UTILIZATION,DAILY_TEST_IN,DAILY_TEST_OUT,REMARKS,DIE_ITEM,PRODUCT,TARGET_YIELD,HOLD_YIELD_LIMIT,UPPER_YIELD_LIMIT,OS_YIELD_LIMIT,SCRAP_YIELD_LIMIT,CDCA_DISPOSITION_INSTRUCTION,PRODUCT_CONTROL,TPE,TSE,BU_PE,BU_TE,MSCC_TECHNOLOGIST,FAB_LOCATION,ASSY_LOCATION,LB_14A,LB_SUPPLIER,LB_SUPPLIER_PARTNUMBER,SOCKET_14A,SOCKET_SUPPLIER,SOCKET_SUPPLIER_PARTNUMBER,CABLE_14A,CABLE_SUPPLIER,CABLE_SUPPLIER_PARTNUMBER,DUTBOARD_14A,DUTBOARD_SUPPLIER,DUTBOARD_SUPPLIER_PARTNUMBER,MAPBOARD_14A,MAPBOARD_SUPPLIER,MAPBOARD_SUPPLIER_PARTNUMBER,IND,PGM_KEY,INDEX,TEST_PROG_DIRECTORY_NAME,TEST_PROGRAM_DIRECTORY,SKIP_LOT_QA_1:10,QA_TEST_PROGRAM_NAME,STDF_DEVICE,SETUP_KEY,PSI_STATUS,TP_NAME,STDF_PROGRAM,MSCC_PLANNER,MSCC_PE_PRIMARY,MSCC_PE_BACKUP,MSCC_TE,LB_QTY,LB_TESTLOCATION,LB_STATUS,LB_N1,SOCKET_QTY,SUBCON_SOCKET_ID,LID_SOCKET_14A,LID_SOCKET_QTY,LID_SUBCON_SOCKET_ID,LID_SUPPLIER,LID_SUPPLIER_PARTNUMBER,ALIGNPLATE_SOCKET_14A,ALIGNPLATE_QTY,SUBCON_ALIGNPLATE_ID,ALIGNPLATE_SUPPLIER,ALIGNPLATE_SUPPLIER_PARTNUMBER,CABLE_QTY,SUBCON_CABLE_ID,DUTBOARD_QTY,DUTBOARD_SUBCON_ID,CHANGEKIT_QTY,SUBCON_CHANGEKIT_ID,CHANGEKIT_SUPPLIER,CHANGEKIT_SUPPLIER_PARTNUMBER,MAPBOARD_QTY,SUBCON_MAPBOARD_ID,
VPT,MT88E45BSR1,MT88E45B,Z0571TKZCA01,Z0571,CNIC,KZC,20,300SOIC,Z0571.LTX77_VPT,SOIC20_7.5x12.8x2.34,ASEM,LTX77_VPT,c359ca.tp,,,c359ca.tp,CA,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88E45BSR1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,1.4,25411,0.97,0.65,16517.64705882353,16022.117647058823,ACTIVE,W.C359C01,CNIC,0.97,0.94,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20004,LTX,LTX:860-1162-00-(DX90_Proto_Socket_Adaptor_SAT1010_RevCA),14-A20008,ASECO,ASECO:300SOIC,14-A20040,Encore_Engineering_Services_and_Products,Encore_Engineering_Services_and_Products:894-8828,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144858
144859",2.0,C359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88E46AS1,MT88E46A,Z05617KZCA01,Z0561,CNIC,KZC,20,300SOIC,Z0561.LTX77_VPT,SOIC20_7.5x12.8x2.34,ASEM,LTX77_VPT,c265bb.tp,,,c265bb.tp,BB,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88E46AS1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,8.85,7963,0.97,0.65,5176.036866359447,5020.755760368664,ACTIVE,W.C265B03,CNIC,0.97,0.96,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20004,LTX,LTX:860-1162-00-(DX90_Proto_Socket_Adaptor_SAT1010_RevCA),14-A20008,ASECO,ASECO:300SOIC,14-A20040,Encore_Engineering_Services_and_Products,Encore_Engineering_Services_and_Products:894-8828,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144824
144825",1.0,C265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88E46ASR1,MT88E46A,Z0561TKZCA01,Z0561,CNIC,KZC,20,300SOIC,Z0561.LTX77_VPT,SOIC20_7.5x12.8x2.34,ASEM,LTX77_VPT,c265bb.tp,,,c265bb.tp,BB,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88E46ASR1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,8.85,7963,0.97,0.65,5176.036866359447,5020.755760368664,ACTIVE,W.C265B03,CNIC,0.97,0.96,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20004,LTX,LTX:860-1162-00-(DX90_Proto_Socket_Adaptor_SAT1010_RevCA),14-A20008,ASECO,ASECO:300SOIC,14-A20040,Encore_Engineering_Services_and_Products,Encore_Engineering_Services_and_Products:894-8828,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144824
144825",1.0,C265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L70AE1,MT88L70A,V20D47F3XA02,V20D4,DTMF reciever,F3X,18,300DIP,C211.TELEPAC,PDIP18_6.35x22.86x3.3,ASEM,TELEPAC,c211aj.vti,,,c211aj.vti,AJ,-,MCT,Tube,No,T400,FT,T25C,1,,STD,STD_MT88L70AE1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,1.2,0.95,40186,0.98,0.65,26120.93023255814,25598.51162790698,ACTIVE,J7340AAA,DTMF reciever,0.98,0.97,1,0.01,0.6,118145,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,Mike Tranquillo,GF,ASEM,14-A20027,Mitel,Mitel:141264201_R2.0,14-A20072,ASECO,ASECO:PDIP18,NA,NA,NA,14-A20028,MITEL,MITEL:141266201_R1,,NA,NA,,"144844
144845",1.0,C211AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L70AN1,MT88L70A,V20D47L5CA02,V20D4,DTMF reciever,L5C,20,SSOP,C211.TELEPAC,SSOP20_5.3x7.2x1.8,ASEM,TELEPAC,c211aj.vti,,,c211aj.vti,AJ,-,AS1,Tube,No,T400,FT,T25C,1,,STD,STD_MT88L70AN1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,2.0,0.95,29288,0.98,0.65,19037.28813559322,18656.542372881355,ACTIVE,J7340AAA,DTMF reciever,0.98,0.97,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,Mike Tranquillo,GF,ASEM,14-A20027,Mitel,Mitel:141264201_R2.0,14-A20127,ASECO,ASECO:SSOP20,NA,NA,NA,14-A20026,LTX,LTX:860-1054_RevGA,,NA,NA,,"144874
144875",2.0,C211AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L70ANR1,MT88L70A,V20D4TL5CA02,V20D4,DTMF reciever,L5C,20,SSOP,C211.TELEPAC,SSOP20_5.3x7.2x1.8,ASEM,TELEPAC,c211aj.vti,,,c211aj.vti,AJ,-,AS1,Tube,No,T400,FT,T25C,1,,STD,STD_MT88L70ANR1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,2.0,0.95,29288,0.98,0.65,19037.28813559322,18656.542372881355,ACTIVE,J7340AAA,DTMF reciever,0.98,0.97,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,Mike Tranquillo,GF,ASEM,14-A20027,Mitel,Mitel:141264201_R2.0,14-A20127,ASECO,ASECO:SSOP20,NA,NA,NA,14-A20026,LTX,LTX:860-1054_RevGA,,NA,NA,,"144874
144875",2.0,C211AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L70AS1,MT88L70A,V20D47KYCA02,V20D4,DTMF reciever,KYC,18,300SOIC,C211.TELEPAC,SOIC18_7.5x11.54x2.42,ASEM,TELEPAC,c211aj.vti,,,c211aj.vti,AJ,-,AS1,Tube,No,T400,FT,T25C,1,,STD,STD_MT88L70AS1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,2.0,0.95,29288,0.98,0.65,19037.28813559322,18656.542372881355,ACTIVE,J7340AAA,DTMF reciever,0.98,0.97,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,Mike Tranquillo,GF,ASEM,14-A20027,Mitel,Mitel:141264201_R2.0,14-A20008,ASECO,ASECO:300SOIC,NA,NA,NA,14-A20028,MITEL,MITEL:141266201_R1,,NA,NA,,"144888
144889",3.0,C211AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L70ASR1,MT88L70A,V20D4TKYCA02,V20D4,DTMF reciever,KYC,18,300SOIC,C211.TELEPAC,SOIC18_7.5x11.54x2.42,ASEM,TELEPAC,c211aj.vti,,,c211aj.vti,AJ,-,AS1,Tube,No,T400,FT,T25C,1,,STD,STD_MT88L70ASR1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,2.0,0.95,29288,0.98,0.65,19037.28813559322,18656.542372881355,ACTIVE,J7340AAA,DTMF reciever,0.98,0.97,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,Mike Tranquillo,GF,ASEM,14-A20027,Mitel,Mitel:141264201_R2.0,14-A20008,ASECO,ASECO:300SOIC,NA,NA,NA,14-A20028,MITEL,MITEL:141266201_R1,,NA,NA,,"144888
144889",3.0,C211AJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L85AE1,MT88L85A,Z05447KPCA01,Z0544,DTMF Transceiver,KPC,24,300DIP,C223.LTX77_VPT,PDIP24_6.2x31.37x5.34,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,MCT,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L85AE1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,1.2,14.6,5468,0.9,0.65,3554.4303797468356,3198.987341772152,ACTIVE,W.C223B14,DTMF Transceiver,0.9,0.95,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20072,ASECO,ASECO:PDIP24,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20007,MITEL,MITEL:1058252-01RA,,NA,NA,,"144820
144821",1.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L85AN1,MT88L85A,Z05447J2XA01,Z0544,DTMF Transceiver,J2X,24,SSOP,C223.LTX77_VPT,SSOP24_5.3x8.2x1.75,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L85AN1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,14.05,5383,0.9,0.65,3499.0654205607475,3149.158878504673,ACTIVE,W.C223B14,DTMF Transceiver,0.9,0.95,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20128,ASECO,ASECO:SSOP24,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144854
144855",2.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L85ANR1,MT88L85A,Z0544TJ2XA01,Z0544,DTMF Transceiver,J2X,24,SSOP,C223.LTX77_VPT,SSOP24_5.3x8.2x1.75,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L85ANR1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,14.05,5383,0.9,0.65,3499.0654205607475,3149.158878504673,ACTIVE,W.C223B14,DTMF Transceiver,0.9,0.95,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20128,ASECO,ASECO:SSOP24,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144854
144855",2.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L89AN1,MT88L89A,Z05447J2XA02,Z0544,DTMF Transceiver,J2X,24,SSOP,C223.LTX77_VPT,SSOP24_5.3x8.2x1.75,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L89AN1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,14.05,5383,0.85,0.65,3499.0654205607475,2974.205607476635,ACTIVE,W.C223B15,DTMF Transceiver,0.85,0.8,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20128,ASECO,ASECO:SSOP24,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144854
144855",2.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L89ANR1,MT88L89A,Z0544TJ2XA02,Z0544,DTMF Transceiver,J2X,24,SSOP,C223.LTX77_VPT,SSOP24_5.3x8.2x1.75,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L89ANR1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,14.05,5383,0.85,0.65,3499.0654205607475,2974.205607476635,ACTIVE,W.C223B15,DTMF Transceiver,0.85,0.8,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20128,ASECO,ASECO:SSOP24,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144854
144855",2.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L89AS1,MT88L89A,Z05447KZCA01,Z0544,DTMF Transceiver,KZC,20,300SOIC,C223.LTX77_VPT,SOIC20_7.5x12.8x2.34,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L89AS1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,14.05,5383,0.85,0.65,3499.0654205607475,2974.205607476635,ACTIVE,W.C223B15,DTMF Transceiver,0.85,0.8,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20008,ASECO,ASECO:300SOIC,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144880
144881",3.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT88L89ASR1,MT88L89A,Z0544TKZCA01,Z0544,DTMF Transceiver,KZC,20,300SOIC,C223.LTX77_VPT,SOIC20_7.5x12.8x2.34,ASEM,LTX77_VPT,c223bp.tp,,,c223bp.tp,BP,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT88L89ASR1,FQ,FCD(25C). FQD(25C),CPG_LE_MCT,Yes,1.0,2.0,14.05,5383,0.85,0.65,3499.0654205607475,2974.205607476635,ACTIVE,W.C223B15,DTMF Transceiver,0.85,0.8,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20001,LTX,LTX:860-0666_RevA-(Universal_DX89_SA_SAT-400_84_Contact),14-A20008,ASECO,ASECO:300SOIC,14-A20039,RESEARCH,RESEARCH:CAB-0156-2-6_156-96_PIN_MOB_B,14-A20002,PIER ELECTRONICS,PIER ELECTRONICS:D71628ASSO_RevA,,NA,NA,,"144880
144881",3.0,C223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8960AE1,MT8960AE,Z05517F3XA01,Z0551,Integrated PCM Filter Codec,F3X,18,300DIP,MT896X.SYNCHRO_II,PDIP18_6.35x22.86x3.3,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,MCT,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8960AE1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,1.2,3.24,19459,0.95,0.65,12648.648648648646,12016.216216216215,EOL. BUT NEED TO KEEP,W.C043J04,Integrated PCM Filter Codec,0.95,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20023,Mitel,Mitel:1398083010203_R1,14-A20072,MCT,MCT:PDIP18,NA,NA,NA,NA,NA,NA,,NA,NA,,,0.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8961AE1,MT8961AE,Z05517F3XA02,Z0551,Integrated PCM Filter Codec,F3X,18,300DIP,MT896X.SYNCHRO_II,PDIP18_6.35x22.86x3.3,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,MCT,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8961AE1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,1.2,3.24,19459,0.95,0.65,12648.648648648646,12016.216216216215,ACTIVE,W.C043J04,Integrated PCM Filter Codec,0.95,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20023,Mitel,Mitel:1398083010203_R1,14-A20072,MCT,MCT:PDIP18,NA,NA,NA,NA,NA,NA,,NA,NA,,"144822
144823",1.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8963AE1,MT8963AE,Z05517G6XA01,Z0551,Integrated PCM Filter Codec,G6X,20,300DIP,MT896X.SYNCHRO_II,PDIP20_6.35x26.16x3.3,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,MCT,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8963AE1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,1.2,3.2,19636,0.91,0.65,12763.636363636364,11614.90909090909,ACTIVE,W.C043J04,Integrated PCM Filter Codec,0.91,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20023,Mitel,Mitel:1398083010203_R1,14-A20072,MCT,MCT:PDIP20,NA,NA,NA,NA,NA,NA,,NA,NA,,"144856
144857",2.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8964AE1,MT8964AE,Z05527F3XA01,Z0552,Integrated PCM Filter Codec,F3X,18,300DIP,MT896X.SYNCHRO_II,PDIP18_6.35x22.86x3.3,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,MCT,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8964AE1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,1.2,3.2,19636,0.91,0.65,12763.636363636364,11614.90909090909,EOL. BUT NEED TO KEEP,W.C084B02,Integrated PCM Filter Codec,0.91,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20023,Mitel,Mitel:1398083010203_R1,14-A20072,MCT,MCT:PDIP18,NA,NA,NA,NA,NA,NA,,NA,NA,,,0.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8965AE1,MT8965AE,V20F17F3XA01,V20F1,Integrated PCM Filter Codec,F3X,18,300DIP,MT896X.SYNCHRO_II,PDIP18_6.35x22.86x3.3,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,MCT,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8965AE1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,1.2,3.27,19328,0.91,0.65,12563.758389261748,11433.02013422819,ACTIVE,W.CPG037A-BS,Integrated PCM Filter Codec,0.91,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20023,Mitel,Mitel:1398083010203_R1,14-A20072,MCT,MCT:PDIP18,NA,NA,NA,NA,NA,NA,,NA,NA,,"144890
144891",3.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8966AS1,MT8966AS,Z05527KZCA01,Z0552,Integrated PCM Filter Codec,KZC,20,300SOIC,MT896X.SYNCHRO_II,SOIC20_7.5x12.8x2.34,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8966AS1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,2.0,3.27,16394,0.93,0.65,10656.546489563569,9910.588235294119,EOL. BUT NEED TO KEEP,W.C084B02,Integrated PCM Filter Codec,0.95,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20020,Mitel,Mitel:1398093010203_R1,14-A20008,ASECO,ASECO:300SOIC,NA,NA,NA,NA,NA,NA,,NA,NA,,,0.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT8967AS1,MT8967AS,V20F17KZCA01,V20F1,Integrated PCM Filter Codec,KZC,20,300SOIC,MT896X.SYNCHRO_II,SOIC20_7.5x12.8x2.34,ASEM,SYNCHRO_II,mt896x12.vti,,,mt896x12.vti,12,-,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT8967AS1,FQ,FCD(25C). FQD(25C),CPG_LE_TEL,Yes,1.0,2.0,3.24,16488,0.93,0.65,10717.557251908396,9967.328244274808,ACTIVE,W.CPG037A-BS,Integrated PCM Filter Codec,0.93,0.9,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,SS Quah,,SS Quah,,Dalsa,ASEM,14-A20020,Mitel,Mitel:1398093010203_R1,14-A20008,ASECO,ASECO:300SOIC,NA,NA,NA,NA,NA,NA,,NA,NA,,"144900
144901",4.0,MT896X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT9074AL1,MT9074AL,Z1A427KGCA01,Z1A42,Framer,KGC,100,MQFP_14X20,Z1A42.SYNCHRO_AC,MQFP100_20x14x2.7,ASEM,SYNCHRO_AC,c320dg.vti,,,c320dg.vti,DG,41508,MAN,Tray,No,T400,FCD,T25C,1,,STD,STD_MT9074AL1,FQ,FCD(25C). FQD(25C),CPG_LE_SYN,Yes,1.0,20.0,7.42,3150,0.9,0.65,2048.140043763676,1843.3260393873086,ACTIVE,F3040ABC,Framer,0.9,0.89,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,Joel,,SS Quah,Jeffrey Schmoyer,GF,ASEM,14-A20129,Mitel,Mitel:1423663010203_R1,14-A20015,Yamaichi,Yamaichi:IC51-814-7.A107918-001,NA,NA,NA,14-A20014,Mitel,Mitel:1418363010203_R1,,NA,NA,,"144862
144863",2.0,C320DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT9074AP1,MT9074AP,Z1A427W2XA01,Z1A42,Framer,W2X,68,68PLCC,Z1A42.SYNCHRO_AC,PLCC68_24.21x24.21x3.76,ASEM,SYNCHRO_AC,c320dg.vti,,,c320dg.vti,DG,41508,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT9074AP1,FQ,FCD(25C). FQD(25C),CPG_LE_SYN,Yes,1.0,2.0,7.42,9171,0.9,0.65,5961.783439490447,5365.605095541402,ACTIVE,F3040ABC,Framer,0.9,0.89,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,Joel,,SS Quah,Jeffrey Schmoyer,GF,ASEM,14-A20129,Mitel,Mitel:1423663010203_R1,14-A20131,ASECO,ASECO:PLCC68,NA,NA,NA,14-A20130,Mitel,Mitel:1405993010203_R1,,NA,NA,,"144830
144831",1.0,C320DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPT,MT9074APR1,MT9074AP,Z1A42TW2XA01,Z1A42,Framer,W2X,68,68PLCC,Z1A42.SYNCHRO_AC,PLCC68_24.21x24.21x3.76,ASEM,SYNCHRO_AC,c320dg.vti,,,c320dg.vti,DG,41508,AS1,Tube,No,T400,FCD,T25C,1,,STD,STD_MT9074APR1,FQ,FCD(25C). FQD(25C),CPG_LE_SYN,Yes,1.0,2.0,7.42,9171,0.9,0.65,5961.783439490447,5365.605095541402,ACTIVE,F3040ABC,Framer,0.9,0.89,1,0.01,0.6,,Santhiya Marinanmuthu,SS Quah,Joel,,SS Quah,Jeffrey Schmoyer,GF,ASEM,14-A20129,Mitel,Mitel:1423663010203_R1,14-A20131,ASECO,ASECO:PLCC68,NA,NA,NA,14-A20130,Mitel,Mitel:1405993010203_R1,,NA,NA,,"144830
144831",1.0,C320DG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
